nohup: ignoring input
Time: 5.24 s    Percent: 0.4 %
Time: 9.84 s    Percent: 0.8 %
Time: 14.45 s    Percent: 1.2000000000000002 %
Time: 18.93 s    Percent: 1.6 %
Time: 23.51 s    Percent: 2.0 %
Time: 28.02 s    Percent: 2.4 %
Time: 32.54 s    Percent: 2.8 %
Time: 37.21 s    Percent: 3.1999999999999997 %
Time: 41.63 s    Percent: 3.5999999999999996 %
Time: 46.07 s    Percent: 3.9999999999999996 %
Time: 50.43 s    Percent: 4.3999999999999995 %
Time: 54.88 s    Percent: 4.8 %
Time: 59.14 s    Percent: 5.2 %
Time: 63.54 s    Percent: 5.6000000000000005 %
Time: 67.99 s    Percent: 6.000000000000001 %
Time: 72.28 s    Percent: 6.400000000000001 %
Time: 76.58 s    Percent: 6.800000000000002 %
Time: 81.02 s    Percent: 7.200000000000002 %
Time: 85.34 s    Percent: 7.600000000000002 %
Time: 89.69 s    Percent: 8.000000000000002 %
Time: 94.10 s    Percent: 8.400000000000002 %
Time: 98.60 s    Percent: 8.800000000000002 %
Time: 103.28 s    Percent: 9.200000000000003 %
Time: 107.65 s    Percent: 9.600000000000003 %
Time: 112.05 s    Percent: 10.000000000000004 %
Time: 116.32 s    Percent: 10.400000000000004 %
Time: 120.70 s    Percent: 10.800000000000004 %
Time: 125.04 s    Percent: 11.200000000000005 %
Time: 129.60 s    Percent: 11.600000000000005 %
Time: 133.99 s    Percent: 12.000000000000005 %
Time: 138.39 s    Percent: 12.400000000000006 %
Time: 142.74 s    Percent: 12.800000000000006 %
Time: 147.10 s    Percent: 13.200000000000006 %
Time: 151.43 s    Percent: 13.600000000000007 %
Time: 155.79 s    Percent: 14.000000000000007 %
Time: 160.37 s    Percent: 14.400000000000007 %
Time: 164.70 s    Percent: 14.800000000000008 %
Time: 169.02 s    Percent: 15.200000000000008 %
Time: 173.27 s    Percent: 15.600000000000009 %
Time: 177.60 s    Percent: 16.000000000000007 %
Time: 181.89 s    Percent: 16.400000000000006 %
Time: 186.26 s    Percent: 16.800000000000004 %
Time: 190.78 s    Percent: 17.200000000000003 %
Time: 195.24 s    Percent: 17.6 %
Time: 199.78 s    Percent: 18.0 %
Time: 204.17 s    Percent: 18.4 %
Time: 208.61 s    Percent: 18.799999999999997 %
Time: 213.05 s    Percent: 19.199999999999996 %
Time: 217.54 s    Percent: 19.599999999999994 %
Time: 222.05 s    Percent: 19.999999999999993 %
Time: 226.45 s    Percent: 20.39999999999999 %
Time: 230.90 s    Percent: 20.79999999999999 %
Time: 235.30 s    Percent: 21.19999999999999 %
Time: 239.85 s    Percent: 21.599999999999987 %
Time: 244.34 s    Percent: 21.999999999999986 %
Time: 248.97 s    Percent: 22.399999999999984 %
Time: 253.29 s    Percent: 22.799999999999983 %
Time: 257.58 s    Percent: 23.19999999999998 %
Time: 261.92 s    Percent: 23.59999999999998 %
Time: 266.16 s    Percent: 23.99999999999998 %
Time: 270.47 s    Percent: 24.399999999999977 %
Time: 274.68 s    Percent: 24.799999999999976 %
Time: 278.97 s    Percent: 25.199999999999974 %
Time: 283.29 s    Percent: 25.599999999999973 %
Time: 287.63 s    Percent: 25.99999999999997 %
Time: 292.05 s    Percent: 26.39999999999997 %
Time: 296.44 s    Percent: 26.79999999999997 %
Time: 300.80 s    Percent: 27.199999999999967 %
Time: 305.54 s    Percent: 27.599999999999966 %
Time: 309.89 s    Percent: 27.999999999999964 %
Time: 314.41 s    Percent: 28.399999999999963 %
Time: 318.85 s    Percent: 28.79999999999996 %
Time: 323.24 s    Percent: 29.19999999999996 %
Time: 327.74 s    Percent: 29.59999999999996 %
Time: 332.09 s    Percent: 29.999999999999957 %
Time: 336.57 s    Percent: 30.399999999999956 %
Time: 340.92 s    Percent: 30.799999999999955 %
Time: 345.32 s    Percent: 31.199999999999953 %
Time: 349.68 s    Percent: 31.59999999999995 %
Time: 354.10 s    Percent: 31.99999999999995 %
Time: 358.60 s    Percent: 32.39999999999995 %
Time: 363.03 s    Percent: 32.79999999999995 %
Time: 367.47 s    Percent: 33.199999999999946 %
Time: 371.83 s    Percent: 33.599999999999945 %
Time: 376.24 s    Percent: 33.99999999999994 %
Time: 381.15 s    Percent: 34.39999999999994 %
Time: 385.53 s    Percent: 34.79999999999994 %
Time: 389.94 s    Percent: 35.19999999999994 %
Time: 394.38 s    Percent: 35.59999999999994 %
Time: 398.65 s    Percent: 35.999999999999936 %
Time: 403.06 s    Percent: 36.399999999999935 %
Time: 407.54 s    Percent: 36.79999999999993 %
Time: 412.00 s    Percent: 37.19999999999993 %
Time: 416.27 s    Percent: 37.59999999999993 %
Time: 420.66 s    Percent: 37.99999999999993 %
Time: 425.06 s    Percent: 38.39999999999993 %
Time: 429.50 s    Percent: 38.799999999999926 %
Time: 433.91 s    Percent: 39.199999999999925 %
Time: 438.33 s    Percent: 39.59999999999992 %
Time: 442.67 s    Percent: 39.99999999999992 %
Time: 447.05 s    Percent: 40.39999999999992 %
Time: 451.59 s    Percent: 40.79999999999992 %
Time: 456.08 s    Percent: 41.19999999999992 %
Time: 460.62 s    Percent: 41.599999999999916 %
Time: 464.99 s    Percent: 41.999999999999915 %
Time: 469.28 s    Percent: 42.39999999999991 %
Time: 473.75 s    Percent: 42.79999999999991 %
Time: 478.86 s    Percent: 43.19999999999991 %
Time: 483.30 s    Percent: 43.59999999999991 %
Time: 487.66 s    Percent: 43.99999999999991 %
Time: 491.97 s    Percent: 44.399999999999906 %
Time: 496.57 s    Percent: 44.799999999999905 %
Time: 501.08 s    Percent: 45.1999999999999 %
Time: 505.54 s    Percent: 45.5999999999999 %
Time: 510.12 s    Percent: 45.9999999999999 %
Time: 514.44 s    Percent: 46.3999999999999 %
Time: 518.82 s    Percent: 46.7999999999999 %
Time: 523.14 s    Percent: 47.199999999999896 %
Time: 527.66 s    Percent: 47.599999999999895 %
Time: 532.13 s    Percent: 47.99999999999989 %
Time: 536.54 s    Percent: 48.39999999999989 %
Time: 541.08 s    Percent: 48.79999999999989 %
Time: 545.67 s    Percent: 49.19999999999989 %
Time: 550.16 s    Percent: 49.59999999999989 %
Time: 554.61 s    Percent: 49.999999999999886 %
